#SET1,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks
Hazey Jane I,Schottkey 7th Path,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I
Alpha Beta Gaga,Hazey Jane I,Alpha Beta Gaga,Alpha Beta Gaga,Schottkey 7th Path,Alpha Beta Gaga,Alpha Beta Gaga,Schottkey 7th Path,Alpha Beta Gaga
Schottkey 7th Path,,,Schottkey 7th Path,,,Schottkey 7th Path,,
U Smile,,,U Smile,,,U Smile,,
#SET2,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,The Concubine,No Holly For Miss Quinn
The World at Large,The Concubine,The World at Large,The World at Large,The Concubine,The World at Large,The World at Large,Dark Messages,The World at Large
The Concubine,Dark Messages,The Concubine,The Concubine,The World at Large,The Concubine,The Concubine,No Holly For Miss Quinn,The Concubine
05:55,,,05:55,,,05:55,,
Dark Messages,,,Dark Messages,,,Dark Messages,,
#SET3,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran
Worrisome Heart,Worrisome Heart,Worrisome Heart,Worrisome Heart,Worrisome Heart,Worrisome Heart,Worrisome Heart,Hazey Jane I,Worrisome Heart
All the Wild Horses,Hazey Jane I,All the Wild Horses,All the Wild Horses,Hazey Jane I,All the Wild Horses,All the Wild Horses,Worrisome Heart,All the Wild Horses
Hazey Jane I,,,Hazey Jane I,,,Hazey Jane I,,
U Smile,,,U Smile,,,U Smile,,
#SET4,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
All the Wild Horses,Baby I'm A Fool,All the Wild Horses,All the Wild Horses,Baby I'm A Fool,All the Wild Horses,All the Wild Horses,The Concubine,All the Wild Horses
The World at Large,The Concubine,The World at Large,The World at Large,The Concubine,The World at Large,The World at Large,All the Wild Horses,The World at Large
The Concubine,All the Wild Horses,The Concubine,The Concubine,All the Wild Horses,The Concubine,The Concubine,Baby I'm A Fool,The Concubine
05:55,,,05:55,,,05:55,,
Baby I'm A Fool,,,Baby I'm A Fool,,,Baby I'm A Fool,,
#SET5,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Samba Vexillographica,If I Could Be Where You Are,Samba Vexillographica,Samba Vexillographica,If I Could Be Where You Are,Samba Vexillographica,Samba Vexillographica,Samba Vexillographica,Samba Vexillographica
Horn,Horn,Horn,Horn,Horn,Horn,Horn,Horn,Horn
05:55,Samba Vexillographica,05:55,05:55,Samba Vexillographica,05:55,05:55,If I Could Be Where You Are,05:55
U Smile,,,U Smile,,,U Smile,,
If I Could Be Where You Are,,,If I Could Be Where You Are,,,If I Could Be Where You Are,,
#SET6,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn
The World at Large,Schottkey 7th Path,The World at Large,The World at Large,Schottkey 7th Path,The World at Large,The World at Large,Dark Messages,The World at Large
Schottkey 7th Path,The Concubine,Schottkey 7th Path,Schottkey 7th Path,The Concubine,Schottkey 7th Path,Schottkey 7th Path,Schottkey 7th Path,Schottkey 7th Path
The Concubine,,,The Concubine,,,The Concubine,,
Dark Messages,,,Dark Messages,,,Dark Messages,,
#SET7,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Boadicea,Baby I'm A Fool,Boadicea,Boadicea,Baby I'm A Fool,Boadicea,Boadicea,Burden of Tomorrow,Boadicea
Burden of Tomorrow,Boadicea,Burden of Tomorrow,Burden of Tomorrow,Boadicea,Burden of Tomorrow,Burden of Tomorrow,Baby I'm A Fool,Burden of Tomorrow
Cheers Darlin',Burden of Tomorrow,Cheers Darlin',Cheers Darlin',Burden of Tomorrow,Cheers Darlin',Cheers Darlin',Boadicea,Cheers Darlin'
Alpha Beta Gaga,,,Alpha Beta Gaga,,,Alpha Beta Gaga,,
Baby I'm A Fool,,,Baby I'm A Fool,,,Baby I'm A Fool,,
#SET8,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
All the Wild Horses,If I Could Be Where You Are,All the Wild Horses,All the Wild Horses,If I Could Be Where You Are,All the Wild Horses,All the Wild Horses,All the Wild Horses,All the Wild Horses
Horn,Horn,Horn,Horn,Horn,Horn,Horn,Horn,Horn
Mayfair Song,All the Wild Horses,Mayfair Song,Mayfair Song,All the Wild Horses,Mayfair Song,Mayfair Song,If I Could Be Where You Are,Mayfair Song
U Smile,,,U Smile,,,U Smile,,
If I Could Be Where You Are,,,If I Could Be Where You Are,,,If I Could Be Where You Are,,
#SET9,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Burden of Tomorrow,On My Way Home,Burden of Tomorrow,Burden of Tomorrow,On My Way Home,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow
On My Way Home,Heliosphan,On My Way Home,On My Way Home,Burden of Tomorrow,On My Way Home,On My Way Home,Heliosphan,On My Way Home
The World at Large,Burden of Tomorrow,The World at Large,The World at Large,Heliosphan,The World at Large,The World at Large,On My Way Home,The World at Large
Heliosphan,,,Heliosphan,,,Heliosphan,,
Mayfair Song,,,Mayfair Song,,,Mayfair Song,,
#SET10,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Boadicea,Baby I'm A Fool,Boadicea,Boadicea,Baby I'm A Fool,Boadicea,Boadicea,Boadicea,Boadicea
Hazey Jane I,Boadicea,Hazey Jane I,Hazey Jane I,Boadicea,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I
The World at Large,Hazey Jane I,The World at Large,The World at Large,Hazey Jane I,The World at Large,The World at Large,Baby I'm A Fool,The World at Large
Baby I'm A Fool,,,Baby I'm A Fool,,,Baby I'm A Fool,,
Hi Scores,,,Hi Scores,,,Hi Scores,,
#SET11,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Horn,Horn,Horn,Horn,Horn,Horn,Horn,Horn,Horn
Cheers Darlin',The Concubine,Cheers Darlin',Cheers Darlin',Cheers Darlin',Cheers Darlin',Cheers Darlin',The Concubine,Cheers Darlin'
The World at Large,Cheers Darlin',The World at Large,The World at Large,The Concubine,The World at Large,The World at Large,Cheers Darlin',The World at Large
The Concubine,,,The Concubine,,,The Concubine,,
U Smile,,,U Smile,,,U Smile,,
#SET12,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,No Holly For Miss Quinn,Schottkey 7th Path,No Holly For Miss Quinn
Hazey Jane I,Schottkey 7th Path,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I
So Vast as the Sky,Hazey Jane I,So Vast as the Sky,So Vast as the Sky,Schottkey 7th Path,So Vast as the Sky,So Vast as the Sky,No Holly For Miss Quinn,So Vast as the Sky
Schottkey 7th Path,,,Schottkey 7th Path,,,Schottkey 7th Path,,
U Smile,,,U Smile,,,U Smile,,
#SET13,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,The Body Breaks,Aldebaran
The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,All the Wild Horses,The Body Breaks
All the Wild Horses,All the Wild Horses,All the Wild Horses,All the Wild Horses,The Concubine,All the Wild Horses,All the Wild Horses,Aldebaran,All the Wild Horses
The Concubine,,,The Concubine,,,The Concubine,,
Hi Scores,,,Hi Scores,,,Hi Scores,,
#SET14,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Burden of Tomorrow,Baby I'm A Fool,Burden of Tomorrow,Burden of Tomorrow,Baby I'm A Fool,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow
Stadium Love,If I Could Be Where You Are,Stadium Love,Stadium Love,If I Could Be Where You Are,Stadium Love,Stadium Love,If I Could Be Where You Are,Stadium Love
Baby I'm A Fool,Burden of Tomorrow,Baby I'm A Fool,Baby I'm A Fool,Burden of Tomorrow,Baby I'm A Fool,Baby I'm A Fool,Baby I'm A Fool,Baby I'm A Fool
Hi Scores,,,Hi Scores,,,Hi Scores,,
If I Could Be Where You Are,,,If I Could Be Where You Are,,,If I Could Be Where You Are,,
#SET15,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
The Body Breaks,Long Long Journey,The Body Breaks,The Body Breaks,Long Long Journey,The Body Breaks,The Body Breaks,Long Long Journey,The Body Breaks
Horn,The Body Breaks,Horn,Horn,The Body Breaks,Horn,Horn,Horn,Horn
So Vast as the Sky,Horn,So Vast as the Sky,So Vast as the Sky,Horn,So Vast as the Sky,So Vast as the Sky,The Body Breaks,So Vast as the Sky
Long Long Journey,,,Long Long Journey,,,Long Long Journey,,
U Smile,,,U Smile,,,U Smile,,
#SET16,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Aldebaran,Burden of Tomorrow,Aldebaran
Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow,Aldebaran,Burden of Tomorrow
The World at Large,Schottkey 7th Path,The World at Large,The World at Large,Schottkey 7th Path,The World at Large,The World at Large,Schottkey 7th Path,The World at Large
Schottkey 7th Path,,,Schottkey 7th Path,,,Schottkey 7th Path,,
The Concubine,,,The Concubine,,,The Concubine,,
#SET17,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Boadicea,Boadicea,Boadicea,Boadicea,Boadicea,Boadicea,Boadicea,Boadicea,Boadicea
Horn,Horn,Horn,Horn,Horn,Horn,Horn,Horn,Horn
So Vast as the Sky,So Vast as the Sky,So Vast as the Sky,So Vast as the Sky,So Vast as the Sky,So Vast as the Sky,So Vast as the Sky,So Vast as the Sky,So Vast as the Sky
Alpha Beta Gaga,,,Alpha Beta Gaga,,,Alpha Beta Gaga,,
05:55,,,05:55,,,05:55,,
#SET18,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Horn,Schottkey 7th Path,Horn,Horn,Horn,Horn,Horn,Horn,Horn
Stadium Love,Horn,Stadium Love,Stadium Love,Schottkey 7th Path,Stadium Love,Stadium Love,Schottkey 7th Path,Stadium Love
The World at Large,Stadium Love,The World at Large,The World at Large,Stadium Love,The World at Large,The World at Large,Stadium Love,The World at Large
Schottkey 7th Path,,,Schottkey 7th Path,,,Schottkey 7th Path,,
Hi Scores,,,Hi Scores,,,Hi Scores,,
#SET19,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks
All the Wild Horses,All the Wild Horses,All the Wild Horses,All the Wild Horses,All the Wild Horses,All the Wild Horses,All the Wild Horses,All the Wild Horses,All the Wild Horses
The World at Large,Mayfair Song,The World at Large,The World at Large,Mayfair Song,The World at Large,The World at Large,Mayfair Song,The World at Large
Mayfair Song,,,Mayfair Song,,,Mayfair Song,,
Hi Scores,,,Hi Scores,,,Hi Scores,,
#SET20,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
All the Wild Horses,Long Long Journey,All the Wild Horses,All the Wild Horses,Long Long Journey,All the Wild Horses,All the Wild Horses,Long Long Journey,All the Wild Horses
Horn,Baby I'm A Fool,Horn,Horn,Baby I'm A Fool,Horn,Horn,Horn,Horn
Cheers Darlin',Horn,Cheers Darlin',Cheers Darlin',Horn,Cheers Darlin',Cheers Darlin',Baby I'm A Fool,Cheers Darlin'
Long Long Journey,,,Long Long Journey,,,Long Long Journey,,
Baby I'm A Fool,,,Baby I'm A Fool,,,Baby I'm A Fool,,
#SET21,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Boadicea,Baby I'm A Fool,Boadicea,Boadicea,Baby I'm A Fool,Boadicea,Boadicea,Burden of Tomorrow,Boadicea
Burden of Tomorrow,Boadicea,Burden of Tomorrow,Burden of Tomorrow,Boadicea,Burden of Tomorrow,Burden of Tomorrow,Baby I'm A Fool,Burden of Tomorrow
Hazey Jane I,Burden of Tomorrow,Hazey Jane I,Hazey Jane I,Burden of Tomorrow,Hazey Jane I,Hazey Jane I,Boadicea,Hazey Jane I
Cheers Darlin',,,Cheers Darlin',,,Cheers Darlin',,
Baby I'm A Fool,,,Baby I'm A Fool,,,Baby I'm A Fool,,
#SET22,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Boadicea,Boadicea,Boadicea,Boadicea,Boadicea,Boadicea,Boadicea,Horn,Boadicea
Burden of Tomorrow,Horn,Burden of Tomorrow,Burden of Tomorrow,Horn,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow,Burden of Tomorrow
Horn,Burden of Tomorrow,Horn,Horn,Burden of Tomorrow,Horn,Horn,Boadicea,Horn
Alpha Beta Gaga,,,Alpha Beta Gaga,,,Alpha Beta Gaga,,
05:55,,,05:55,,,05:55,,
#SET23,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Samba Vexillographica,Baby I'm A Fool,Samba Vexillographica,Samba Vexillographica,Baby I'm A Fool,Samba Vexillographica,Samba Vexillographica,How Can I Keep From Singing?,Samba Vexillographica
How Can I Keep From Singing?,Samba Vexillographica,How Can I Keep From Singing?,How Can I Keep From Singing?,Samba Vexillographica,How Can I Keep From Singing?,How Can I Keep From Singing?,Samba Vexillographica,How Can I Keep From Singing?
So Vast as the Sky,How Can I Keep From Singing?,So Vast as the Sky,So Vast as the Sky,How Can I Keep From Singing?,So Vast as the Sky,So Vast as the Sky,Baby I'm A Fool,So Vast as the Sky
Baby I'm A Fool,,,Baby I'm A Fool,,,Baby I'm A Fool,,
U Smile,,,U Smile,,,U Smile,,
#SET24,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Aldebaran,Baby I'm A Fool,Aldebaran,Aldebaran,Baby I'm A Fool,Aldebaran,Aldebaran,Baby I'm A Fool,Aldebaran
So Vast as the Sky,Aldebaran,So Vast as the Sky,So Vast as the Sky,Aldebaran,So Vast as the Sky,So Vast as the Sky,The Concubine,So Vast as the Sky
The Concubine,The Concubine,The Concubine,The Concubine,The Concubine,The Concubine,The Concubine,Aldebaran,The Concubine
Mayfair Song,,,Mayfair Song,,,Mayfair Song,,
Baby I'm A Fool,,,Baby I'm A Fool,,,Baby I'm A Fool,,
#SET25,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
A Day Without Rain,Worrisome Heart,A Day Without Rain,A Day Without Rain,Worrisome Heart,A Day Without Rain,A Day Without Rain,Burden of Tomorrow,A Day Without Rain
Burden of Tomorrow,A Day Without Rain,Burden of Tomorrow,Burden of Tomorrow,A Day Without Rain,Burden of Tomorrow,Burden of Tomorrow,A Day Without Rain,Burden of Tomorrow
Worrisome Heart,Burden of Tomorrow,Worrisome Heart,Worrisome Heart,Burden of Tomorrow,Worrisome Heart,Worrisome Heart,Worrisome Heart,Worrisome Heart
All the Wild Horses,,,All the Wild Horses,,,All the Wild Horses,,
Samba Vexillographica,,,Samba Vexillographica,,,Samba Vexillographica,,
#SET26,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Aldebaran,Baby I'm A Fool,Aldebaran,Aldebaran,Baby I'm A Fool,Aldebaran,Aldebaran,Aldebaran,Aldebaran
Hazey Jane I,Aldebaran,Hazey Jane I,Hazey Jane I,Aldebaran,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I
Stadium Love,Hazey Jane I,Stadium Love,Stadium Love,Hazey Jane I,Stadium Love,Stadium Love,Baby I'm A Fool,Stadium Love
Mayfair Song,,,Mayfair Song,,,Mayfair Song,,
Baby I'm A Fool,,,Baby I'm A Fool,,,Baby I'm A Fool,,
#SET27,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
Boadicea,Worrisome Heart,Boadicea,Boadicea,Worrisome Heart,Boadicea,Boadicea,Boadicea,Boadicea
Worrisome Heart,Boadicea,Worrisome Heart,Worrisome Heart,Boadicea,Worrisome Heart,Worrisome Heart,Samba Vexillographica,Worrisome Heart
Samba Vexillographica,Samba Vexillographica,Samba Vexillographica,Samba Vexillographica,Samba Vexillographica,Samba Vexillographica,Samba Vexillographica,Worrisome Heart,Samba Vexillographica
Cheers Darlin',,,Cheers Darlin',,,Cheers Darlin',,
Stadium Love,,,Stadium Love,,,Stadium Love,,
#SET28,,,,,,,,
relevant_set_songs,relevant_set_results_alg,relevant_set_results_true,ordered_list_songs,ordered_list_results_alg (by order),ordered_list_results_true (by order),perfect_precision_songs,perfect_precision_results_alg,perfect_precision_results_true
The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,The Body Breaks,Hazey Jane I,The Body Breaks
Hazey Jane I,Schottkey 7th Path,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I,Hazey Jane I,Schottkey 7th Path,Hazey Jane I
The World at Large,Hazey Jane I,The World at Large,The World at Large,Schottkey 7th Path,The World at Large,The World at Large,The Body Breaks,The World at Large
