track_id,track_name,predicted_label,predicted_probabilities,prob_0,prob_1,prob_2,prob_3,prob_4,weighted_probabilities,true_label,playcount,artist_name
TRCAOLY12903CC2544,"Through Leaves, Over Bridges",4,"[0.21000177, 0.16303, 0.14529166, 0.2090505, 0.27262616]",0.21000177,0.16303,0.14529166,0.2090505,0.27262616,2.1712694,1,8.0,It Dies Today
TRGZXVO128C71962CF,Wendy Clear,3,"[0.012409676, 0.07832132, 0.13616529, 0.6561178, 0.116985805]",0.012409676,0.07832132,0.13616529,0.6561178,0.116985805,2.7869484,3,42.0,blink-182
TREEQBY128F428B6FA,If the Kids Are United,3,"[0.14970973, 0.1684404, 0.115625046, 0.36111867, 0.20510612]",0.14970973,0.1684404,0.115625046,0.36111867,0.20510612,2.303471,1,9.0,Sham 69
TROHTYS128F9329D2A,Sea Of Lies,4,"[0.114118464, 0.11146787, 0.19635563, 0.20955823, 0.36849982]",0.114118464,0.11146787,0.19635563,0.20955823,0.36849982,2.606853,3,42.0,Symphony X
TRHZOXJ12903CA71C6,The Darkest Places,0,"[0.3157965, 0.12985206, 0.09902933, 0.2286636, 0.22665854]",0.3157965,0.12985206,0.09902933,0.2286636,0.22665854,1.9205356,0,3.0,MxPx
TRNEOHC128F4289D51,Checkered Floor,4,"[0.01514148, 0.18259855, 0.15203252, 0.19285233, 0.45737508]",0.01514148,0.18259855,0.15203252,0.19285233,0.45737508,2.894721,4,96.0,Silversun Pickups
TRRHEGP128F421C7D0,Worlds Away,4,"[0.01720422, 0.19519688, 0.11843682, 0.25663432, 0.41252765]",0.01720422,0.19519688,0.11843682,0.25663432,0.41252765,2.8520842,3,25.0,From First to Last
TRFVSGW12903CF05F4,The Lotus Eaters,4,"[0.204174, 0.11305278, 0.15191741, 0.16535205, 0.36550373]",0.204174,0.11305278,0.15191741,0.16535205,0.36550373,2.3749585,3,43.0,Nevermore
TRKLLTX128F425FD66,Departure From Cairo,0,"[0.3311261, 0.2161856, 0.16239017, 0.22651155, 0.06378665]",0.3311261,0.2161856,0.16239017,0.22651155,0.06378665,1.4756472,1,12.0,Digitalism
TRTAZJL12903CF5166,Illumine,3,"[0.019683294, 0.15213236, 0.17066333, 0.403477, 0.25404403]",0.019683294,0.15213236,0.17066333,0.403477,0.25404403,2.720066,1,10.0,Karnivool
TRNRTQT128F4259F55,Dirge for November,0,"[0.23302537, 0.22137208, 0.19233723, 0.20961772, 0.14364766]",0.23302537,0.22137208,0.19233723,0.20961772,0.14364766,1.8094904,3,31.0,Opeth
TRDCHFC12903CF5E16,White Cell,0,"[0.6047872, 0.101275206, 0.0969477, 0.13650754, 0.06048242]",0.6047872,0.101275206,0.0969477,0.13650754,0.06048242,0.94662285,0,4.0,Cult of Luna
TRFDEKP12903D027CA,Mabool (the Flood),4,"[0.21993747, 0.13778198, 0.15737294, 0.2112837, 0.27362397]",0.21993747,0.13778198,0.15737294,0.2112837,0.27362397,2.1808748,2,14.0,Orphaned Land
TRDSDCI12903CDBF24,Mass Pike,3,"[0.02490395, 0.21311758, 0.23926803, 0.3473796, 0.17533088]",0.02490395,0.21311758,0.23926803,0.3473796,0.17533088,2.435116,2,14.0,The Get Up Kids
TRWBKAK128E0780E35,Dick Lips,1,"[0.017087879, 0.34946388, 0.30190498, 0.17773892, 0.15380438]",0.017087879,0.34946388,0.30190498,0.17773892,0.15380438,2.1017082,3,31.0,blink-182
TRYQLCQ128F92F0C0F,How Long Do I Have To Wait For You?,0,"[0.5201026, 0.15509629, 0.11028832, 0.15319327, 0.06131957]",0.5201026,0.15509629,0.11028832,0.15319327,0.06131957,1.080531,3,24.0,Sharon Jones and the Dap-Kings
TRPBGJR128F92FA7FE,Welcome To Heartbreak,0,"[0.4836574, 0.08920773, 0.17601597, 0.1679515, 0.08316753]",0.4836574,0.08920773,0.17601597,0.1679515,0.08316753,1.2777643,1,8.0,Kanye West
TRDZPAD128F423A65E,World to Come,3,"[0.113817856, 0.17221862, 0.118211955, 0.3751522, 0.22059937]",0.113817856,0.17221862,0.118211955,0.3751522,0.22059937,2.4164965,3,26.0,Gojira
TRHOPQT128F93098FD,Pancake Lizard,0,"[0.3610098, 0.14802001, 0.19087516, 0.21900195, 0.08109298]",0.3610098,0.14802001,0.19087516,0.21900195,0.08109298,1.5111481,1,10.0,Aphex Twin
TRRYDVM128F14857D3,Goodbye Milky Way,0,"[0.5235646, 0.1825299, 0.085080914, 0.15010564, 0.05871894]",0.5235646,0.1825299,0.085080914,0.15010564,0.05871894,1.0378844,0,4.0,Enigma
TRVQGZA128E078F9DB,Xeroxed,2,"[0.18034364, 0.20774159, 0.2321452, 0.18980199, 0.18996766]",0.18034364,0.20774159,0.2321452,0.18980199,0.18996766,2.0013084,1,12.0,Mushroomhead
TRNDNAR128F42525AF,Deconstruction,3,"[0.1627881, 0.2266637, 0.1210707, 0.25726342, 0.23221414]",0.1627881,0.2266637,0.1210707,0.25726342,0.23221414,2.169452,3,31.0,All Shall Perish
TRZEDUL128F429E5D2,One Brick,0,"[0.3569787, 0.31669992, 0.113559574, 0.16703728, 0.045724496]",0.3569787,0.31669992,0.113559574,0.16703728,0.045724496,1.227829,0,7.0,Aesop Rock
TRJRIHX128F147CBC5,Phantom Lord,1,"[0.22168489, 0.35729533, 0.12411476, 0.2091134, 0.08779166]",0.22168489,0.35729533,0.12411476,0.2091134,0.08779166,1.5840317,3,25.0,Metallica
TRCVHJC128EF343995,"You're Crashing, But You're No Wave",3,"[0.017862301, 0.18242772, 0.12657858, 0.40850756, 0.26462382]",0.017862301,0.18242772,0.12657858,0.40850756,0.26462382,2.7196028,4,53.0,Fall Out Boy
TRXYEMT12903CBE707,Without Conclusion,4,"[0.12895785, 0.09554416, 0.15109818, 0.2472344, 0.37716544]",0.12895785,0.09554416,0.15109818,0.2472344,0.37716544,2.6481056,4,118.0,As I Lay Dying
TRFQBYI128F92EC3EF,Simple Love,0,"[0.47167915, 0.20330955, 0.12285042, 0.12144981, 0.080711134]",0.47167915,0.20330955,0.12285042,0.12144981,0.080711134,1.1362044,0,4.0,Alison Krauss
TROCLSI128E07926FB,(Go To) California,3,"[0.13041231, 0.10602935, 0.2764041, 0.30227533, 0.1848789]",0.13041231,0.10602935,0.2764041,0.30227533,0.1848789,2.305179,3,23.0,Rob Zombie
TRHHUIA128F4293D28,Patty Lee,2,"[0.019231357, 0.24512406, 0.2764741, 0.18522747, 0.27394307]",0.019231357,0.24512406,0.2764741,0.18522747,0.27394307,2.4495268,4,77.0,Les Savy Fav
TRXBALC128E0792111,This Apparatus Must Be Unearthed,2,"[0.020949021, 0.26348352, 0.2902729, 0.25875247, 0.1665421]",0.020949021,0.26348352,0.2902729,0.25875247,0.1665421,2.2864552,3,22.0,The Mars Volta
TRSJVGB128E07927DB,Plastic Sun,1,"[0.02240454, 0.36075616, 0.21105547, 0.22009604, 0.18568783]",0.02240454,0.36075616,0.21105547,0.22009604,0.18568783,2.1859064,2,14.0,Sonic Youth
TRPNIRE128F932F8DD,Take A Minute,0,"[0.44018683, 0.15045327, 0.13024844, 0.19351004, 0.085601464]",0.44018683,0.15045327,0.13024844,0.19351004,0.085601464,1.3338861,2,21.0,K'naan
TROSUNC128F427E889,In The Moonlight,1,"[0.022169081, 0.28722355, 0.23617233, 0.21417253, 0.24026255]",0.022169081,0.28722355,0.23617233,0.21417253,0.24026255,2.363136,4,54.0,Pearl Jam
TRXNGNP128F93206A3,Movement From Discord,4,"[0.21642593, 0.10818102, 0.2128514, 0.2223833, 0.24015832]",0.21642593,0.10818102,0.2128514,0.2223833,0.24015832,2.1616669,1,12.0,The Human Abstract
TRLXPOH128F429DC14,Roads Must Roll,1,"[0.27420732, 0.29802117, 0.15958807, 0.19959573, 0.06858774]",0.27420732,0.29802117,0.15958807,0.19959573,0.06858774,1.4903355,1,8.0,Boom Bip
TREYQDA12903CDDC98,Eternal Kingdom,3,"[0.24476887, 0.13386613, 0.18279473, 0.26432228, 0.17424797]",0.24476887,0.13386613,0.18279473,0.26432228,0.17424797,1.9894142,1,9.0,Cult of Luna
TRYUBWR128E07840BA,Tomorrow Comes Today,1,"[0.01845526, 0.28991124, 0.28752482, 0.13541016, 0.26869854]",0.01845526,0.28991124,0.28752482,0.13541016,0.26869854,2.3459854,3,38.0,Gorillaz
TRLYJOJ128F427FF8E,Ave!,4,"[0.16456424, 0.1567632, 0.17423294, 0.20760912, 0.29683053]",0.16456424,0.1567632,0.17423294,0.20760912,0.29683053,2.3153787,1,11.0,Samael
TRHKEVH128F92D0FFB,Pferd,0,"[0.35174945, 0.1957314, 0.11063369, 0.14442444, 0.197461]",0.35174945,0.1957314,0.11063369,0.14442444,0.197461,1.6401161,0,5.0,Pole
TRSCMBY128F9311188,Mardy Bum,4,"[0.017935842, 0.26976663, 0.1734464, 0.19021252, 0.3486386]",0.017935842,0.26976663,0.1734464,0.19021252,0.3486386,2.5818515,4,81.0,Arctic Monkeys
TRNIEHB128F427AAF9,Failure's Not Flattering,3,"[0.020750083, 0.15818374, 0.20043865, 0.44076276, 0.1798647]",0.020750083,0.15818374,0.20043865,0.44076276,0.1798647,2.6008081,2,17.0,New Found Glory
TRNXDPM12903CF42A5,Ash & Debris,0,"[0.28957257, 0.1047645, 0.20770685, 0.18196036, 0.21599576]",0.28957257,0.1047645,0.20770685,0.18196036,0.21599576,1.9300424,0,6.0,Paradise Lost
TRZBATN128F931EB10,Lost in Life,1,"[0.20242885, 0.26876712, 0.18635003, 0.16208947, 0.18036452]",0.20242885,0.26876712,0.18635003,0.16208947,0.18036452,1.8491937,1,13.0,Sirenia
TRVRJWK128F429B12C,A Siren's Soliloquy,4,"[0.014287703, 0.13187787, 0.14723787, 0.14163913, 0.56495744]",0.014287703,0.13187787,0.14723787,0.14163913,0.56495744,3.1111007,4,85.0,Alesana
TRUAGGP128F429EA4E,Specialist,4,"[0.021273093, 0.29190466, 0.22019392, 0.1605052, 0.30612308]",0.021273093,0.29190466,0.22019392,0.1605052,0.30612308,2.4383006,3,23.0,Interpol
TRJKQHT128F92EB3C4,I Want You So Hard (Boy's Bad News),1,"[0.021390146, 0.2885068, 0.24275135, 0.22363986, 0.22371185]",0.021390146,0.2885068,0.24275135,0.22363986,0.22371185,2.3397765,1,11.0,Eagles of Death Metal
TRVUAPI128F93475D4,The Sundering,0,"[0.29328838, 0.14158678, 0.14470042, 0.2269869, 0.19343747]",0.29328838,0.14158678,0.14470042,0.2269869,0.19343747,1.8856983,2,17.0,The Sword
TRBKLDM128F427D0DA,But Tonight We Dance,4,"[0.020446809, 0.14970236, 0.18433097, 0.22086345, 0.4246564]",0.020446809,0.14970236,0.18433097,0.22086345,0.4246564,2.8795803,4,252.0,Rise Against
TRANRWM128F42873F9,Liar in the Glass,4,"[0.011820895, 0.1022857, 0.106048994, 0.102061495, 0.67778295]",0.011820895,0.1022857,0.106048994,0.102061495,0.67778295,3.3316998,3,44.0,Eyes Set to Kill
TRPJOKO128F421B8CE,Ancient Winds,1,"[0.022511968, 0.37229106, 0.24213168, 0.21266994, 0.15039536]",0.022511968,0.37229106,0.24213168,0.21266994,0.15039536,2.0961456,1,13.0,Shaman
TRFWOUX12903CDBF38,Lowercase West Thomas,1,"[0.021793904, 0.3275501, 0.21751554, 0.28129196, 0.15184858]",0.021793904,0.3275501,0.21751554,0.28129196,0.15184858,2.2138515,2,19.0,The Get Up Kids
TRTNFRQ12903CB6360,Horchata,1,"[0.02211303, 0.3497546, 0.29202086, 0.21590722, 0.12020428]",0.02211303,0.3497546,0.29202086,0.21590722,0.12020428,2.062335,3,38.0,Vampire Weekend
TREUDYW128F92FCDC1,Size Matters (Someday),0,"[0.34874883, 0.17367536, 0.1787189, 0.17898278, 0.11987419]",0.34874883,0.17367536,0.1787189,0.17898278,0.11987419,1.5475582,1,10.0,Joe Nichols
TROZQMJ12903CFA461,De Hombre A Hombre,3,"[0.258168, 0.12354108, 0.13367337, 0.282435, 0.20218253]",0.258168,0.12354108,0.13367337,0.282435,0.20218253,2.046923,0,5.0,Gotan Project
TRDKMPV128F429FEF7,First Love Song,0,"[0.3946036, 0.1590294, 0.12321399, 0.14523911, 0.17791398]",0.3946036,0.1590294,0.12321399,0.14523911,0.17791398,1.5528307,0,5.0,Luke Bryan
TRAEASY128F148247C,Tel que tu es,0,"[0.4995736, 0.19062462, 0.112676844, 0.15066893, 0.046455998]",0.4995736,0.19062462,0.112676844,0.15066893,0.046455998,1.0538092,0,5.0,Charlotte Gainsbourg
TRYRZBA128F424F0E3,Break Me Down,3,"[0.02215721, 0.13801658, 0.21050984, 0.31594247, 0.3133739]",0.02215721,0.13801658,0.21050984,0.31594247,0.3133739,2.7603593,4,45.0,Alter Bridge
TRNDFXW12903CFD7A4,Spegetti Western,1,"[0.025948169, 0.30816528, 0.2686905, 0.20975496, 0.1874411]",0.025948169,0.30816528,0.2686905,0.20975496,0.1874411,2.2245755,1,10.0,Primus
TRGRONS128E0786070,Bring The Pain,0,"[0.4149451, 0.18370928, 0.11121497, 0.15449435, 0.13563631]",0.4149451,0.18370928,0.11121497,0.15449435,0.13563631,1.4121675,4,58.0,Mindless Self Indulgence
TRXSPGZ128F428CE63,Animales De Laboratorio,0,"[0.66602856, 0.10448862, 0.0740485, 0.08678597, 0.068648316]",0.66602856,0.10448862,0.0740485,0.08678597,0.068648316,0.78753674,0,4.0,Ska-P
